pc,explained_variance_fraction,cumulative_explained_variance
PC306,2.4443167075509504e-5,0.9989374960406477
PC307,2.3784787385228867e-5,0.9989612808280329
PC308,2.3625281937553736e-5,0.9989849061099705
PC309,2.294696626274911e-5,0.9990078530762332
PC310,2.2649356767290386e-5,0.9990305024330005
PC311,2.1958122146231486e-5,0.9990524605551467
PC312,2.159515558275123e-5,0.9990740557107295
PC313,2.1378661930000762e-5,0.9990954343726595
PC314,2.0755588926867844e-5,0.9991161899615864
PC315,2.0513330369772742e-5,0.9991367032919561
PC316,2.0026375869835928e-5,0.999156729667826
PC317,1.9444719696541012e-5,0.9991761743875225
PC318,1.909513107136686e-5,0.9991952695185938
PC319,1.9062163941381668e-5,0.9992143316825353
PC320,1.8558416567831296e-5,0.9992328900991031
PC321,1.79424306232504e-5,0.9992508325297264
PC322,1.7629353273106793e-5,0.9992684618829994
PC323,1.7363129642743124e-5,0.9992858250126422
PC324,1.689486196929623e-5,0.9993027198746115
PC325,1.6568563086330907e-5,0.9993192884376978
PC326,1.6264345648471978e-5,0.9993355527833463
PC327,1.6085770552006363e-5,0.9993516385538983
PC328,1.5959469484314453e-5,0.9993675980233826
PC329,1.5762317129540157e-5,0.9993833603405121
PC330,1.4968633115182027e-5,0.9993983289736273
PC331,1.491961085660695e-5,0.999413248584484
PC332,1.4701625315563698e-5,0.9994279502097996
PC333,1.4271936928268096e-5,0.9994422221467278
PC334,1.4062961924813612e-5,0.9994562851086527
PC335,1.372899150128645e-5,0.999470014100154
PC336,1.3534287805044846e-5,0.999483548387959
PC337,1.2979078671994906e-5,0.9994965274666311
PC338,1.277878152184787e-5,0.9995093062481529
PC339,1.2628631829865739e-5,0.9995219348799828
PC340,1.2298488807614055e-5,0.9995342333687903
PC341,1.1992096381533247e-5,0.9995462254651719
PC342,1.1724144545275986e-5,0.9995579496097172
PC343,1.1459077287034359e-5,0.9995694086870043
PC344,1.1212261426704856e-5,0.999580620948431
PC345,1.1033108032784723e-5,0.9995916540564638
PC346,1.0751841186426696e-5,0.9996024058976501
PC347,1.0682952004573337e-5,0.9996130888496547
PC348,1.0351866151905807e-5,0.9996234407158067
PC349,1.0078831909169464e-5,0.9996335195477158
PC350,9.827611328015986e-6,0.9996433471590439
PC351,9.527249119947946e-6,0.9996528744081639
PC352,9.14063817708514e-6,0.9996620150463409
PC353,9.0972716611897e-6,0.9996711123180021
PC354,8.859444076370582e-6,0.9996799717620785
PC355,8.719638863772957e-6,0.9996886914009422
PC356,8.417175394926633e-6,0.9996971085763371
PC357,8.187355974123779e-6,0.9997052959323112
PC358,7.976061649700459e-6,0.9997132719939609
PC359,7.842633819999688e-6,0.9997211146277809
PC360,7.709168238298174e-6,0.9997288237960192
PC361,7.6125056894515534e-6,0.9997364363017087
PC362,7.495665997969537e-6,0.9997439319677067
PC363,7.174766717944281e-6,0.9997511067344247
PC364,7.140144770375618e-6,0.999758246879195
PC365,6.902437415700304e-6,0.9997651493166108
PC366,6.8298368686879235e-6,0.9997719791534795
PC367,6.563945214454301e-6,0.999778543098694
PC368,6.406821236867136e-6,0.9997849499199308
PC369,6.245603636204207e-6,0.999791195523567
PC370,6.172980353424257e-6,0.9997973685039204
PC371,5.9589331641109675e-6,0.9998033274370846
PC372,5.789996989574706e-6,0.9998091174340741
PC373,5.72568675312233e-6,0.9998148431208272
PC374,5.528604200533552e-6,0.9998203717250278
PC375,5.3460259652280604e-6,0.999825717750993
PC376,5.117740260270844e-6,0.9998308354912533
PC377,5.0558126416978505e-6,0.9998358913038949
PC378,4.88863574841596e-6,0.9998407799396434
PC379,4.841806439565169e-6,0.9998456217460829
PC380,4.799091601839848e-6,0.9998504208376848
PC381,4.67853192145169e-6,0.9998550993696063
PC382,4.499764968612788e-6,0.9998595991345749
