subject_set,pc,reaction_id,loading,abs_loading,explained_variance_fraction,direction,rank_within_direction
optimal414,PC3,CYTDtex,-0.05307601796663446,0.05307601796663446,0.06478178373843446,negative,20
optimal414,PC3,SUCOAS,0.06687209304062343,0.06687209304062343,0.06478178373843446,positive,1
optimal414,PC3,ASP_Ltex,0.06290038868361895,0.06290038868361895,0.06478178373843446,positive,2
optimal414,PC3,RIBABCtepp,0.061708995345166814,0.061708995345166814,0.06478178373843446,positive,3
optimal414,PC3,MME,0.061372824134154826,0.061372824134154826,0.06478178373843446,positive,4
optimal414,PC3,MMM2r,0.061372824134154826,0.061372824134154826,0.06478178373843446,positive,5
optimal414,PC3,MMCD,0.06135266970045593,0.06135266970045593,0.06478178373843446,positive,6
optimal414,PC3,EX_glu_L(e),0.06079823858882242,0.06079823858882242,0.06478178373843446,positive,7
optimal414,PC3,EX_ncam(e),0.058650777216241935,0.058650777216241935,0.06478178373843446,positive,8
optimal414,PC3,NCAMt2rpp,0.058650777216241935,0.058650777216241935,0.06478178373843446,positive,9
optimal414,PC3,PNP,0.05864193850333676,0.05864193850333676,0.06478178373843446,positive,10
optimal414,PC3,NMNPH,0.058641938503336745,0.058641938503336745,0.06478178373843446,positive,11
optimal414,PC3,NMNPpp,0.05860708483805952,0.05860708483805952,0.06478178373843446,positive,12
optimal414,PC3,NMNtex,0.05860708483805952,0.05860708483805952,0.06478178373843446,positive,13
optimal414,PC3,SUCDimq,0.05858251422628597,0.05858251422628597,0.06478178373843446,positive,14
optimal414,PC3,ABTAr,0.05808737121895751,0.05808737121895751,0.06478178373843446,positive,15
optimal414,PC3,CITtex,0.05799398967851411,0.05799398967851411,0.06478178373843446,positive,16
optimal414,PC3,EX_ppa(e),0.05745218092484257,0.05745218092484257,0.06478178373843446,positive,17
optimal414,PC3,PPAKr,0.05745218092484257,0.05745218092484257,0.06478178373843446,positive,18
optimal414,PC3,PPAt2rpp,0.05745218092484257,0.05745218092484257,0.06478178373843446,positive,19
optimal414,PC3,PTA2,0.05745218092484257,0.05745218092484257,0.06478178373843446,positive,20
