subject_set,pc,explained_variance_fraction,cumulative_explained_variance
all516,PC381,4.678531921451687e-6,0.9998550993696061
all516,PC382,4.499764968612793e-6,0.9998595991345748
all516,PC383,4.410217000397401e-6,0.9998640093515752
all516,PC384,4.32991916186833e-6,0.999868339270737
all516,PC385,4.225430918817262e-6,0.9998725647016559
all516,PC386,4.121329314541899e-6,0.9998766860309704
all516,PC387,3.939785044378084e-6,0.9998806258160148
all516,PC388,3.892742996446108e-6,0.9998845185590112
all516,PC389,3.7989537950195103e-6,0.9998883175128062
all516,PC390,3.6260094059186007e-6,0.9998919435222121
all516,PC391,3.582505053335342e-6,0.9998955260272655
all516,PC392,3.408076456421988e-6,0.9998989341037219
all516,PC393,3.3377745216931955e-6,0.9999022718782435
all516,PC394,3.310921842099057e-6,0.9999055828000857
all516,PC395,3.141768140278926e-6,0.999908724568226
all516,PC396,3.043386022538709e-6,0.9999117679542485
all516,PC397,2.97530167618894e-6,0.9999147432559247
all516,PC398,2.84768779257222e-6,0.9999175909437172
all516,PC399,2.782475085090845e-6,0.9999203734188024
all516,PC400,2.703270740224127e-6,0.9999230766895426
all516,PC401,2.6777036979432465e-6,0.9999257543932406
all516,PC402,2.5542810904289303e-6,0.999928308674331
all516,PC403,2.511671286840454e-6,0.9999308203456179
all516,PC404,2.4618528876378272e-6,0.9999332821985055
all516,PC405,2.4228299245243554e-6,0.9999357050284301
all516,PC406,2.3543147297525884e-6,0.9999380593431598
all516,PC407,2.3331486116724374e-6,0.9999403924917715
all516,PC408,2.200389389448831e-6,0.9999425928811609
all516,PC409,2.085409561846473e-6,0.9999446782907228
all516,PC410,2.0344002167230353e-6,0.9999467126909395
all516,PC411,1.9956052972670357e-6,0.9999487082962367
all516,PC412,1.908260619636338e-6,0.9999506165568564
all516,PC413,1.8752228613775538e-6,0.9999524917797177
all516,PC414,1.871990443366692e-6,0.999954363770161
all516,PC415,1.7608267685656398e-6,0.9999561245969296
all516,PC416,1.7007752773506654e-6,0.999957825372207
all516,PC417,1.6613705229122002e-6,0.9999594867427299
all516,PC418,1.5994582328085323e-6,0.9999610862009628
all516,PC419,1.567342229206736e-6,0.999962653543192
all516,PC420,1.5537775456621341e-6,0.9999642073207377
all516,PC421,1.4783918215830884e-6,0.9999656857125593
all516,PC422,1.3730898000325389e-6,0.9999670588023594
all516,PC423,1.342781843891618e-6,0.9999684015842033
all516,PC424,1.3163556728673856e-6,0.9999697179398762
all516,PC425,1.2317256126555401e-6,0.9999709496654888
all516,PC426,1.1874583551864428e-6,0.999972137123844
all516,PC427,1.1743955599751308e-6,0.999973311519404
all516,PC428,1.1558822023494905e-6,0.9999744674016064
all516,PC429,1.0794127395304755e-6,0.999975546814346
all516,PC430,1.0633468403838865e-6,0.9999766101611863
all516,PC431,1.0224490322324116e-6,0.9999776326102185
all516,PC432,1.0138787662147256e-6,0.9999786464889847
all516,PC433,1.00357403437264e-6,0.999979650063019
all516,PC434,9.374853820029406e-7,0.999980587548401
all516,PC435,9.234245982913857e-7,0.9999815109729994
all516,PC436,8.871412245219425e-7,0.9999823981142238
all516,PC437,8.271974207319442e-7,0.9999832253116446
all516,PC438,8.00448832538214e-7,0.9999840257604772
all516,PC439,7.797695501455298e-7,0.9999848055300273
all516,PC440,7.023171014470128e-7,0.9999855078471288
all516,PC441,6.751825501516566e-7,0.999986183029679
all516,PC442,6.667192364137654e-7,0.9999868497489154
all516,PC443,6.391969805257039e-7,0.999987488945896
all516,PC444,5.959728652562955e-7,0.9999880849187612
all516,PC445,5.685940599906568e-7,0.9999886535128212
all516,PC446,5.407714572589039e-7,0.9999891942842785
all516,PC447,5.134704316915136e-7,0.9999897077547102
all516,PC448,4.957079245436771e-7,0.9999902034626348
all516,PC449,4.930970980021222e-7,0.9999906965597328
all516,PC450,4.842338476487069e-7,0.9999911807935805
all516,PC451,4.7156443452115784e-7,0.999991652358015
all516,PC452,4.6770253054259983e-7,0.9999921200605456
all516,PC453,4.3260960711880813e-7,0.9999925526701527
all516,PC454,3.995998090287461e-7,0.9999929522699618
all516,PC455,3.787727460720151e-7,0.9999933310427078
all516,PC456,3.7083535071125184e-7,0.9999937018780586
all516,PC457,3.6505643304578493e-7,0.9999940669344917
all516,PC458,3.494999944195097e-7,0.99999441643448606
all516,PC459,3.383338717503027e-7,0.9999947547683578
all516,PC460,3.2771488942086453e-7,0.9999950824832472
all516,PC461,2.9797755426482823e-7,0.9999953804608015
all516,PC462,2.8188298330042316e-7,0.9999956623437848
all516,PC463,2.6753866338623865e-7,0.9999959298824481
all516,PC464,2.542673644239999e-7,0.9999961841498125
all516,PC465,2.4073549042311437e-7,0.9999964248853029
all516,PC466,2.3014017951484672e-7,0.9999966550254824
all516,PC467,2.2069213891136026e-7,0.9999968757176213
all516,PC468,2.0383004881832749e-7,0.9999970795476701
all516,PC469,1.928057767462902e-7,0.9999972723534469
all516,PC470,1.8620161442631392e-7,0.9999974585550614
all516,PC471,1.7695818844104781e-7,0.9999976355132498
all516,PC472,1.6220922899330807e-7,0.9999977977224789
all516,PC473,1.5462096842533607e-7,0.9999979523434473
all516,PC474,1.4629297825099262e-7,0.9999980986364256
all516,PC475,1.4346324641002322e-7,0.999998242099672
all516,PC476,1.339045838577812e-7,0.9999983760042559
all516,PC477,1.27124975921853e-7,0.9999985031292318
all516,PC478,1.2488816303879984e-7,0.9999986280173948
all516,PC479,1.1892306339743583e-7,0.9999987469404582
all516,PC480,1.0742155172509613e-7,0.99999885436201
all516,PC481,9.936468092188584e-8,0.9999989537266909
all516,PC482,9.578727899870118e-8,0.9999990495139699
all516,PC483,8.833727046100794e-8,0.9999991378512404
all516,PC484,7.890914292442915e-8,0.9999992167603833
all516,PC485,6.783552347890734e-8,0.9999992845959068
all516,PC486,6.361852818367559e-8,0.999999348214435
all516,PC487,5.7186500156281404e-8,0.9999994054009352
all516,PC488,5.419568540284712e-8,0.9999994595966206
all516,PC489,5.277615010217777e-8,0.9999995123727707
all516,PC490,4.8044211293095013e-8,0.999999560416982
all516,PC491,4.7443499991434105e-8,0.999999607860482
all516,PC492,4.092635317449423e-8,0.9999996487868352
all516,PC493,3.90755251278605e-8,0.9999996878623604
all516,PC494,3.5905128187812156e-8,0.9999997237674886
all516,PC495,3.45217930836035e-8,0.9999997582892817
all516,PC496,3.298211509784071e-8,0.9999997912713968
all516,PC497,2.8522613927573656e-8,0.9999998197940108
all516,PC498,2.5796918659879224e-8,0.9999998455909295
all516,PC499,2.3749097944761244e-8,0.9999998693400274
all516,PC500,2.0828483481135742e-8,0.9999998901685109
all516,PC501,1.788344605983599e-8,0.9999999080519569
all516,PC502,1.703886814831971e-8,0.999999925090825
all516,PC503,1.4816764874791592e-8,0.99999993990759
all516,PC504,1.2355440519043323e-8,0.9999999522630305
all516,PC505,8.76078475919687e-9,0.9999999610238153
all516,PC506,8.374022981111629e-9,0.9999999693978383
all516,PC507,7.159297910018423e-9,0.9999999765571362
all516,PC508,6.416598194767657e-9,0.9999999829737344
all516,PC509,5.407696051579332e-9,0.9999999883814304
all516,PC510,4.090067564670535e-9,0.9999999924714981
all516,PC511,3.349477078280301e-9,0.9999999958209751
all516,PC512,2.2266791207255063e-9,0.9999999980476543
all516,PC513,1.9523468138511567e-9,1.000000000000001
all516,PC514,2.7218653875661456e-32,1.000000000000001
all516,PC515,9.672999429391651e-34,1.000000000000001
all516,PC516,9.672999429391651e-34,1.000000000000001
optimal414,PC1,0.1470623047873981,0.1470623047873981
optimal414,PC2,0.13185962045817162,0.2789219252455697
optimal414,PC3,0.06478178373843446,0.34370370898400415
optimal414,PC4,0.05033417481557948,0.39403788379958365
optimal414,PC5,0.03642557226350608,0.4304634560630897
optimal414,PC6,0.029011264444557216,0.45947472050764693
optimal414,PC7,0.022046242678350293,0.48152096318599724
optimal414,PC8,0.019761392037363535,0.5012823552233607
optimal414,PC9,0.01691602922847486,0.5181983844518356
optimal414,PC10,0.015742777174267742,0.5339411616261034
optimal414,PC11,0.014952430472088685,0.5488935920981921
optimal414,PC12,0.014638719795876397,0.5635323118940685
optimal414,PC13,0.013425317488528411,0.5769576293825969
optimal414,PC14,0.011750603527231077,0.588708232909828
optimal414,PC15,0.010524906408538552,0.5992331393183665
optimal414,PC16,0.010223249626478892,0.6094563889448454
optimal414,PC17,0.009822985967529231,0.6192793749123747
optimal414,PC18,0.009235577781118713,0.6285149526934934
optimal414,PC19,0.008916467911338332,0.6374314206048318
optimal414,PC20,0.008460427324777373,0.6458918479296092
optimal414,PC21,0.008167817734030126,0.6540596656636393
optimal414,PC22,0.007644411629056665,0.661704077292696
optimal414,PC23,0.0075366750121813805,0.6692407523048773
optimal414,PC24,0.007057223657238742,0.676297975962116
optimal414,PC25,0.007031202275717822,0.6833291782378339
optimal414,PC26,0.006911025857701442,0.6902402040955353
optimal414,PC27,0.006534800708671696,0.6967750048042071
optimal414,PC28,0.0063552776832974936,0.7031302824875045
