cohort,age_group,species_name,paper_taxon,model_file,model_species_id,median_abundance,normalized_weight,n_subjects
SG90,71_80,Bacteroides dorei,Bacteroides dorei,Models/vmh_agora2_sbml/Bacteroides_dorei_DSM_17855.xml,Bacteroides_dorei_DSM_17855,1.29433138870446,0.13337658897596336,20
SG90,71_80,Bacteroides xylanisolvens,Bacteroides xylanisolvens,Models/vmh_agora2_sbml/Bacteroides_xylanisolvens_XB1A.xml,Bacteroides_xylanisolvens_XB1A,0.207204772162898,0.021351769702727407,20
SG90,71_80,Bilophila wadsworthia,Bilophila unclassified,Models/vmh_agora2_sbml/Bilophila_wadsworthia_3_1_6.xml,Bilophila_wadsworthia_3_1_6,0.0,0.0,20
SG90,71_80,Escherichia coli,Escherichia coli,Models/vmh_agora2_sbml/Escherichia_coli_UTI89_UPEC.xml,Escherichia_coli_UTI89_UPEC,4.1220534997181595,0.42476404432958936,20
SG90,71_80,Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,Models/vmh_agora2_sbml/Faecalibacterium_prausnitzii_M21_2.xml,Faecalibacterium_prausnitzii_M21_2,2.2473071362576498,0.23157760279259226,20
SG90,71_80,Klebsiella pneumoniae,Klebsiella pneumoniae,Models/vmh_agora2_sbml/Klebsiella_pneumoniae_pneumoniae_MGH78578.xml,Klebsiella_pneumoniae_pneumoniae_MGH78578,0.2008615194826095,0.02069811839449764,20
SG90,71_80,Parabacteroides merdae,Parabacteroides merdae,Models/vmh_agora2_sbml/Parabacteroides_merdae_ATCC_43184.xml,Parabacteroides_merdae_ATCC_43184,0.269548226355851,0.02777605743753867,20
SG90,71_80,Ruminococcus torques,Ruminococcus torques,Models/vmh_agora2_sbml/Ruminococcus_torques_ATCC_27756.xml,Ruminococcus_torques_ATCC_27756,0.3464937545550515,0.03570504083215098,20
SPMP,71_80,Alistipes onderdonkii,Alistipes onderdonkii,Models/vmh_agora2_sbml/Alistipes_onderdonkii_DSM_19147.xml,Alistipes_onderdonkii_DSM_19147,0.0,0.0,2
SPMP,71_80,Alistipes shahii,Alistipes shahii,Models/vmh_agora2_sbml/Alistipes_shahii_WAL_8301.xml,Alistipes_shahii_WAL_8301,0.20836724350354552,0.005812912898153227,2
SPMP,71_80,Bacteroides dorei,Bacteroides dorei,Models/vmh_agora2_sbml/Bacteroides_dorei_DSM_17855.xml,Bacteroides_dorei_DSM_17855,0.0534191221948135,0.0014902568138497785,2
SPMP,71_80,Bacteroides xylanisolvens,Bacteroides xylanisolvens,Models/vmh_agora2_sbml/Bacteroides_xylanisolvens_XB1A.xml,Bacteroides_xylanisolvens_XB1A,0.0,0.0,2
SPMP,71_80,Bilophila wadsworthia,Bilophila unclassified,Models/vmh_agora2_sbml/Bilophila_wadsworthia_3_1_6.xml,Bilophila_wadsworthia_3_1_6,0.0,0.0,2
SPMP,71_80,Escherichia coli,Escherichia coli,Models/vmh_agora2_sbml/Escherichia_coli_UTI89_UPEC.xml,Escherichia_coli_UTI89_UPEC,22.940519917728334,0.6399818026955613,2
SPMP,71_80,Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,Models/vmh_agora2_sbml/Faecalibacterium_prausnitzii_M21_2.xml,Faecalibacterium_prausnitzii_M21_2,10.10248610146844,0.2818335107535286,2
SPMP,71_80,Klebsiella pneumoniae,Klebsiella pneumoniae,Models/vmh_agora2_sbml/Klebsiella_pneumoniae_pneumoniae_MGH78578.xml,Klebsiella_pneumoniae_pneumoniae_MGH78578,1.6650287327727007,0.046450040965126387,2
SPMP,71_80,Parabacteroides merdae,Parabacteroides merdae,Models/vmh_agora2_sbml/Parabacteroides_merdae_ATCC_43184.xml,Parabacteroides_merdae_ATCC_43184,0.1021779977722425,0.0028505046722837393,2
SPMP,71_80,Ruminococcus torques,Ruminococcus torques,Models/vmh_agora2_sbml/Ruminococcus_torques_ATCC_27756.xml,Ruminococcus_torques_ATCC_27756,0.773582463761664,0.021580971201496994,2
SG90,81_90,Alistipes onderdonkii,Alistipes onderdonkii,Models/vmh_agora2_sbml/Alistipes_onderdonkii_DSM_19147.xml,Alistipes_onderdonkii_DSM_19147,0.494620476895701,0.0935167846458735,169
SG90,81_90,Alistipes shahii,Alistipes shahii,Models/vmh_agora2_sbml/Alistipes_shahii_WAL_8301.xml,Alistipes_shahii_WAL_8301,0.227743557500775,0.04305896382404744,169
SG90,81_90,Bacteroides dorei,Bacteroides dorei,Models/vmh_agora2_sbml/Bacteroides_dorei_DSM_17855.xml,Bacteroides_dorei_DSM_17855,0.676254329876683,0.12785789001261408,169
SG90,81_90,Bacteroides xylanisolvens,Bacteroides xylanisolvens,Models/vmh_agora2_sbml/Bacteroides_xylanisolvens_XB1A.xml,Bacteroides_xylanisolvens_XB1A,0.178305668362581,0.03371185296260619,169
SG90,81_90,Bilophila wadsworthia,Bilophila unclassified,Models/vmh_agora2_sbml/Bilophila_wadsworthia_3_1_6.xml,Bilophila_wadsworthia_3_1_6,0.0,0.0,169
SG90,81_90,Escherichia coli,Escherichia coli,Models/vmh_agora2_sbml/Escherichia_coli_UTI89_UPEC.xml,Escherichia_coli_UTI89_UPEC,1.29880647859491,0.24556242903190081,169
SG90,81_90,Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,Models/vmh_agora2_sbml/Faecalibacterium_prausnitzii_M21_2.xml,Faecalibacterium_prausnitzii_M21_2,1.24423225168371,0.23524420230319645,169
SG90,81_90,Klebsiella pneumoniae,Klebsiella pneumoniae,Models/vmh_agora2_sbml/Klebsiella_pneumoniae_pneumoniae_MGH78578.xml,Klebsiella_pneumoniae_pneumoniae_MGH78578,0.17231064142578,0.03257838666029367,169
SG90,81_90,Parabacteroides merdae,Parabacteroides merdae,Models/vmh_agora2_sbml/Parabacteroides_merdae_ATCC_43184.xml,Parabacteroides_merdae_ATCC_43184,0.68968469388354,0.13039713882501167,169
SG90,81_90,Ruminococcus torques,Ruminococcus torques,Models/vmh_agora2_sbml/Ruminococcus_torques_ATCC_27756.xml,Ruminococcus_torques_ATCC_27756,0.307151004155264,0.058072351734456205,169
